user,post,apI,apII,apIII,apIV,apV,cpI,cpII,cpIII,cpIV,cpV,cpSP,postnum,seq
U8,"U3, I hadn't thought about developing a culture that belongs to me. I think that I'm guilty of this. I have had to balance work, family, and my coursework using creative approaches that will be acceptable to my family. Using my education as a tool for the family business has helped me separate myself from traditional culture expectations. Thankfully, I have one well educated family member that I can be compared to. That family member has helped to pave more modern cultural expectations or evolving as stated. Thank you.",0,0,0,1,0,4,1,2,1,0,21,10,0.136986301
U9,"U7,
You shine light on complexities of culture with such clarity. Great observation on we can share differing attitudes in various settings like with family, friends, co-workers, spiritual/religious settings. The concept of beliefs and values being consistent but practiced differently according to our setting, offers me a sense of peace in our multi-faceted, fast paced society.
In our informational based culture, artifacts like cellphones, the type, version and features suggest the high degree we can discriminate to determine and evaluate cultural norms.
Thank you for sharing your perspective on this progressive topic.
Joey",1,1,0,0,0,3,2,2,0,0,15,11,0.150684932
U3 ,"Culture
To me, I see two essential parts of culture. On a macro scale, I agree with Margaret Mead's (1932) definition, that culture is ""the whole complex of traditional behavior which has been developed by the human race and is successively learned by each generation"". On a micro scale, as many have mentioned here in the forum, culture also includes a person's unique intake, involvements, and developments from what that person grew up with from the past generations. This would in turn evolve into a ""one's culture"", not just ""culture"". 
As an example, since I grew up in China until I was 16, I do see lots of Chinese values in me no matter how old I get. Modesty, hatred toward pride, respect to the elders, feeling unsure about my own opinions until a superior power affirms my values, and even dressing modestly. That's part of the ""culture"" that I experience and inherit. In addition to that, coming to the U.S. at an early age and becoming a first-generation Christian in my family, I have certainly developed ""my own culture"". This part makes me entirely unique from the others, even from those who grew up similarly as I did. Now I journal and dream in a mixture of English and Mandarin languages. The free spirit I gained after being in the U.S. for a long time offered me a fresh and bold new take in understanding the Bible and building churches. The part that I inherited from my traditional Chinese culture has integrated with my own experiences surviving in a new country and choose a spiritual pursuit that can be totally misunderstood by people around me.

E-Learning 
E-learning is a way of learning and teaching that includes learners learn through interactions with the contents and the whole learning community through the Internet. I want to emphasize on the fact that e-Learning focuses on the ""distance"" aspect, that the main communications and interactions among people and learning contents are online. A hybrid learning environment includes both F2F and learning through the Internet, however, it is not the involvement of the Internet that could quality a learning as ""e-Learning"". Rather, it is the involvements of the Internet plus a distinct Internet communication and interaction that completes the definition of e-Learning. ",1,3,0,1,0,9,5,6,2,2,45,12,0.164383562
U10,"Hello classmates,
In my opinion, culture is defined as one’s relationships, values, attitudes, traditions, and behaviors. Culture can be considered complex since it consists of social groups who share the same knowledge, belief, morals, and customs. Another way to view culture is by set patterns, feelings, and ways of thinking. Our classmate, U21, made an excellent point regarding how people are born into the culture. For example, since I am taller than the average height, I was instantly placed in the “tall person” culture which consists of the question, “Do you play basketball?”.
Electronic learning (eLearning) can occur in a traditional setting or via the Internet in an online setting. In the traditional classroom setting, eLearning would consist of a PowerPoint presentation or video/films. Online eLearning is considered as a web-based course comprised of discussions, videos, quizzes offered an online platform such as Moodle or Blackboard. One area that culture and eLearning have in common is the fact that both are constantly changing. Personally, when I think of eLearning and culture, I think of introversion and extraversion. I am curious on whether people who tend to be more introvert find themselves in online programs instead of traditional programs. Of course, there are other reasons why people choose online versus traditional learning, but from a related cultural perspective, introversion/extraversion and eLearning are a prime example. ",2,2,0,0,0,14,4,6,0,1,37,13,0.178082192
U6 ,"Hello U10,
I think your thoughts on introversion versus extroversion in eLearning and feel it is pretty interesting because I am a very extroverted person and I really do not like online courses. I am curious if there are other extroverts who feel the same way? I have always felt that online or eLearning courses were meant for those who’d rather not be in a classroom situation, but I had not linked that to introversion. I minored in Interdisciplinary Studies in the Honor’s College because I was always engaged and grew as a person in the seminar-style classes. Online courses have always been more difficult for me to get into and enjoy. My younger brother did his whole undergrad program online because he did not like being around too many people, and he teases me because I am a social butterfly, but chose a program that is predominately online. ",1,1,0,0,0,8,4,3,0,0,37,14,0.191780822
U11,"Hi U10, 
I'm definitely introverted and that was part of the reason I started talking online classes. So there is at least a kernel of truth to your observation. I think there is definitely an introvert culture nowadays, especially on the web. In many ways it is lovely the internet is allowing us to create these subcultures that can increase individual feelings of belonging...of course, it can be used poorly as well.
Do you think that if you lived in a different place you would be asked the same questions regarding your height? Or is that a result of the intersection of height and the US?
Thank you, 
U11",1,2,0,0,0,7,2,2,0,0,23,15,0.205479452
U12,"Hi U10, and thanks U6 and U11 for interjecting your perspectives. 
I think a lot of this depends on how you define introversion, and also understanding that although someone may be introverted or extroverted, we can all be ""trained"" or socially programmed into the opposite of what we naturally are. I think that American culture rewards extroversion over introversion; Americans tend to be offended if someone doesn't smile or say hello, where as if you do that in even other western countries like Russia or the U13ce, you're frowned upon. I think other cultures view extroversion as offensive or intrusive, and reward more humble presentation of self, or deference to elders, as U3 mentioned she experienced growing up in China. (U3, I hope I'm capturing that accurately!)
I learned one definition of introversion that really resonated with me. It's understood that introverts ""recharge"" when they are alone, while extroverts actually gain energy by being with other people. 
Many people would describe me as an extrovert. I do well in group settings, I can be called upon to present to large groups without much notice and be fine, and I enjoy meeting new people. However, if I don't get some time to myself, my entire being suffers. I can't recalibrate and recharge. I know that my Italian-American heritage very much expects one to be extroverted, and it was something my family encouraged growing up. It was only in my late 20s that I realized that although I enjoy people, I really do need time alone to feel balanced and re-energized. 
U6, although I am an introvert, this is my first online class. So far, I've enjoyed the way that Lani and Bri Ramirez have setup the course, but it's certainly outside of my comfort zone! I actually think that the amount of time and attention that you have to spend online reading the discussion boards, which are about pretty intimate topics, takes more energy for me to accomplish than finishing the readings and assignments outside of class, and attending a seminar like discussion during class and engaging the professor and classmates. 
I wonder if anyone else has thoughts on this. Thanks again for sharing! ",0,2,2,0,0,11,6,10,1,2,59,16,0.219178082
U13,"I believe that people's belief, used as artifacts, are the way we communicate with our families. From one generation to the other is what defines culture. I believe culture defines our worldview that sets boundaries between them. However, the concept of culture means different things to different people. Some people use a mental map that guides their relations to their surroundings and other people. Culture, when shared by a large number of people produce a spiritual, material or non-material aspect of human life that gives people a sense of direction and differentiates them from other groups and societies. I believe culture is learned not inherited. 
Culture, to me, influences the beliefs and values of designing and interacting in eLearning. I believe the design of the value system has influenced the lessons we have learned in growing up. I uphold my value systems, and they influence the way I communicate with others and the way I learn. Once I became aware of my cultural makeup, it was easier to understand cultural differences. I further understand the differences from my own life experiences. 
A person's characteristics, motivation, do they find the content interesting, and their attitude towards the learning. One's definition of culture determines how culture will play a role in how they will adapt to eLearning. The following quote captured the essence of culture for me. 
""Culture flashes on the goodness that acknowledges. practices, and passes from one to later generations. (Nienghatai Kopholklang, 2545).
My question to everyone is, ""would developing eLearning and teaching models which match to the user's perception promote acceptance to eLearning in different cultures?""",0,4,1,0,0,6,4,3,1,0,38,17,0.232876712
U14,"Culture
To me culture, in the context of human beings, is how a person associates and identifies him/herself with other similar people. Association can be in the form of things such as the foods you eat, or ways of conducting oneself such as wiping your rear end with toilet paper (kind of a wasteful, expensive, and silly idea when you analyze it). Culture also contains non-material elements such as values, societal belief patterns, which lead to policies form civilizations. For example, in many parts of the United States you cannot buy alcohol at 10am on Sunday. Why is that? Logic would state that is because it is the law. Probably though, that law was influenced by the dominate Protestant Christian society in positions of power that decided that people should be in Churches on Sunday morning. 
Something new I learned from the readings about culture was Hofstede’s five dimensions of culture (Edunson, Andrea (2006). I haven’t seen some of these categories displayed as bipolar scales. I question if these categories are still relevant in the form of a scale now that understandings of topics like gender continue to mutate away from a normative binary. 

Elearning
To me, Elearning is a buzzword from the 90s when companies realized they can train people through computers. This week’s readings about online learning seemed like academics are trying to be able to quarantine the concept and study it. Yet, I think the average day user of technology, such as the internet, just considers online life as part of normal life. This is the way our civilization acquires information now. Perhaps, if we study online learning as an evolution of communication and culture, we might find different insights then trying to bucket it into a specific topic. 
As to U13's question, ""would developing eLearning and teaching models which match to the user's perception promote acceptance to eLearning in different cultures?""
Many large tech companies, in particular social media companies such as Facebook, are very concerned with this idea that learning online be too catered to one's perception or vision of the world. There is a fear of people will create reinforce their biases and believes and potentially leading to a more fragmented and divided society. Yet, the irony of it all is how these companies find themselves in a rock and a hard place because they only survive by user engagement. User engagement tends to be highest when algorithms present articles that the user loves or hates. I think it will be important for us as instructors to facilitate spaces where people can constructively participate in discourse. ",3,1,1,0,0,11,5,6,1,1,53,18,0.246575342
U15,"I love the conversation here – I have found that each time I went to respond, I pondered to consider another perspective. It is interesting to me that we are talking about finding the meaning of culture in at least three areas - (1) being a part of a culture, (2) creating cultures (3) navigating cultures different than our own. 

U14 mentioned from our reading Hofstede’s Five Dimensions of Culture (Edunson, Andrea, 2006). After reading his post I went online to read more about the dimensions (now six dimensions). 
I read an article putting the dimensions into context (ironic given that we have talked about culture and context). Link to article here: https://scholarworks.gvsu.edu/cgi/viewcontent.cgi?article=1014&context=orpc

What particularly struck me was the Power Distance Index (PDI), which refers to the power differential in a culture. At the above link go to page 9 at the bottom and the table gives examples of power differences.
On Wikipedia it discusses the scores that countries were given using this scale and the United States scored basically in the middle, where Guatemala scored high, and Isreal scored low.
Link: https://en.wikipedia.org/wiki/Hofstede%27s_cultural_dimensions_theory

U20 shared how culture can have a positive or negative impact on society. Given the scoring mechanism I can see how culture, values, etc. can lead to that interpretation given the scoring of power, masculinity, etc. It reminds me of how in some places where I train respect is given with a firm handshake and looking someone in the eye directly, whereas in other places that can be perceived as incredibly disrespectful. Like in the video regarding Navajo Nation, if we only look at culture through our lens (and draw meaning on behaviors based on our perceptions), we may be interpreting great cultural strengths as weaknesses. For instance, the way western culture views traditional healing, etc. as alternative (not recognized, or billable as a service).

U13 posed the question ‘would developing eLearning and teaching models which match to the user's perception promote acceptance to eLearning in different cultures?’
It seems to me that in order to address cultural differences you must learn as much from the participants as they are expecting to learn in the learning environment. From a previous course we learned that adult learners increase competence when attaching new concepts to previous knowledge/experiences. This can be done by using common knowledge, or imagery, that participants can identify with and add competence to. But what is common to one, may not be to another. For instance, in Hawaii when I work with native communities it is common to use the ocean and waves as an example to apply learning to. Outside of that community/culture it may not be as affective.

There have been so many good definitions of culture thus far – I’d just like to add that I think of culture as the intersections of beliefs, values, experiences, age, food, traditions, ceremonies, etc. The intersections can be incredibly varied, and change throughout time. When we take our intersections of culture and apply them on top of another, it not only increases misunderstanding but also we miss out on expanding our own world view and opportunity to learn. 
I believe it is critical to practice empathy in an eLearning environment, as Brene Brown says, to honor that my humanity is connected to yours. We can disagree, and be respectful, and learn, etc.",2,2,1,1,1,27,8,10,2,3,57,19,0.260273973
U7,"Hi U15,
I found so much in your post, I don't even know where to begin. First, thanks for your thoughts, it was definitely enlightening. I think what I like most was when you talked about "" using common knowledge, or imagery, that participants can identify with and add competence to"". Not only is the advice great about using familiar imagery for the participants, but that it be something they can add competence to. This is such and important idea because often there are lots of pictures and graphics, but they are not always relevant or functional. Adding media that will have significant meaning or purpose is a great way to support a culture and encourage learning. Great post!",1,1,0,0,0,10,4,2,0,0,31,20,0.273972603
U12,"U14, you raise an interesting response to U13's question. What's interesting to me about this is that companies and larger societal engines fear this negative feedback loop where we as community members are ever more engrossed in the same forms of media, news, etc. and therefore more entrenched in our own ways of thinking over time (leading to a more fragmented, closed minded society), but these companies themselves cater to that fragmentation by tracking our data and advertising to us based on our searches of media, news, etc! It's a bit wild! I wonder what you, U13, and the others think of this and how it affects eLEarning in different cultures. Thanks so much for being the first to answer her question and starting the discussion!",0,2,0,0,0,9,5,3,0,0,32,21,0.287671233
U3,"U14,
I really appreciate your logical response to U13's question. It is so interesting that social medias both encourage and fear users' unique perceptions. That actually allowed me to compare the Chinese government vs. the U.S. government. The former fears citizens' unique opinions and biases because they are terrified with not being able to manage such a huge country. The latter encourages uniqueness and individualities to such an extent that nobody knows what's right any more, or at least what is truthful. This is such a hard balance to create.
U3 ",1,0,1,0,0,6,3,2,0,0,24,22,0.301369863
U16,"To me culture is the set of ideas, behaviors, attitudes, and traditions that exist within large groups of people (usually of a common religion, family, or something similar). These ideas, behaviors, traditions, etc. are passed on from one generation to the next and are typically resistant to change over time. Cultures vary widely not only across the world, but even right next door. 
To me e-learning came about in the 80's around the time the internet was created and is a learning system based on classical teaching but with the help of electronic resources. While teaching can be based in or out of the classroom, I think the use of computers and the Internet forms the major elements of E-learning. I also think that e-learning can also be termed as a the transfer of skills and knowledge, and the delivery of education is made to a large number of recipients at the same or different times. 
In response to U13's question, ""would developing eLearning and teaching models which match to the user's perception promote acceptance to eLearning in different cultures?"" I think it would; and I may be way off the mark here, but just as different American companies have opened businesses around the world but they have adapted and tweaked their services to be culturally accepted in various parts of the world. So that said, I think that eLearning can do the same as long as the cultural norms are respected.
",3,0,0,0,0,9,4,2,0,0,34,23,0.315068493
U5,"To carry on the great conversation started by U21 and U4, I want to tie in my perspective on eLearning culture. Have you noticed the slightly different culture that forms in each OILS course that you have taken within the online discussion groups? Much of this culture comes from set norms by the students and expectations communicated by the Instructor. Even in an environment where we only know each other by voice and written word, we still tend to form a culture that mirrors our values. I am interested to hear your take on how you have seen various eLearning culture shifts in your different OILS courses. What was the driving factor for the difference?
Culture
In a strange comparison, defining culture reminds me of how you would explain the reason you've chosen the haircut you wear today. Almost everyone has a different hair cut or hairstyle that has been acquired through socialization and personal choice. It can reflect customs, conformity, or artistic expression. In the same way, Culture is a set of religious, artistic, environmental, or habitual values you have adapted through your lifespan. Although it is part of who you are today, it can be changed throughout your lifetime to match the way you perceive you fit in in the world. Culture is an attempt to satisfy our need to know where we belong among the people around us. Culture shock comes when we realize that we do not fit in with the norms around us. We either much hold on the our contradicting habits and accept culture stress, conform, or attempt to influence those around us. I enjoyed the simplicity in Sir Edward Tylor's definition of culture; "" the complex whole which includes knowledge, belief, art, morals, law, customs, and any other capabilities and habits acquired by man as a member of society."" (Tylor, 1871, pg. 1) Culture is acquired and is very much a social construct influenced by co located people. As my husband and I consider moving to the foreign culture of the Pacific Northwest, I have spent much time thinking about how we will adjust. 
eLearning
I have thought quite extensively about eLearning as this was the topic of my Capstone Internship. eLearning is better defined as distance education. Even though eLearning is still a very popular buzz word, it is just another medium for teaching information electronically across any distance. eLearning has the benefit that it is electronically communicated and can therefore be replicated or manipulated to best fit the needs of the learners it aims to teach. Since the environment does not make interpersonal communication as natural as a face-to-face course, the culture of the course needs to be set upfront with respect as a mandatory expectation and an openness to cultural differences. ",1,3,0,0,2,9,3,4,0,4,46,24,0.328767123
U7 ,"HI U5,
I appreciate your exploration of distance learning. I especially like your statement that eLearning ""can therefore be replicated or manipulated to best fit the needs of the learners it aims to teach"". I find a lot of inspiration and creativity can be expressed through distance learning. However, based on some of my experiences, I would have to disagree that eLearning ""does not make interpersonal communication as natural as a face-to-face course"".  A few semesters ago, I took a course on virtual learning environments. In that course, we were assigned an avatar and met in a virtual learning space. The space was fully customizable and felt completely interactive. After the first couple of sessions, I noticed that we (our avatars) treated each other as we would in a traditional classroom. If our avatars would accidentally bump, we'd apologize to each other as if we'd actually bumped our neighbor. Our avatars walked in small groups, some alone, as you would expect in real life. We were even able to have individual study sessions while sitting at the beach or by a firepit. It was a very unique and extremely personal experience. We formed relationships with each other even though we were still all sitting in front of our computers. While there are limitations to eLearning, there are also many avenues to create culture and interpersonal communication. Great post.",1,0,0,1,0,5,5,2,2,0,35,25,0.342465753
U12 ,"Hi U5 and U7,
Thank you so much for sharing your thoughts on this! Although this is my first online class, and therefore I guess you could argue my first formal eLearning experience, I do run some online forums for Project ECHO's partners. I've noticed that while some people are more comfortable speaking in person or on the phone, many are much more comfortable emailing. Similarly, I would say that the online platform allows others that are not as comfortable speaking in person to interact more if it's online. I know many colleagues and friends who suffer from social anxiety, and who bristle at the thought of being called on in class or put on the spot in meetings. Although this is something I am accustomed to (perhaps from the American culture I've been reared in?  ), I wonder if this online communication is more natural for others. Perhaps online learning and forums have changed the way we communicate so much so that they now have a firm place in American culture. What do you all think?
Great thoughts. Thank you both for sharing.",0,3,1,0,0,8,4,5,1,2,37,26,0.356164384
U7 ,"Hi U12,
I definitely think some online forums are more natural and supportive for communication. I think some people recognize the low-pressure and high impact online learning can provide. I especially think it is appealing for many because you can review and edit responses before posting, as opposed to accidentally blurting stuff out or feeling the pressure of an audience and not able to say anything at all. This form of learning allows learners to process the information at their own pace and respond when they fully understand. Thanks for the question and the response.",0,1,0,0,0,6,3,1,0,0,22,27,0.369863014
U12 ,"Hi U7 - I think that's absolutely right! And because of that, I think more people are able to share their perspectives that would otherwise be too shy or nervous to share verbally in class. Thanks so much for your response! ",1,0,0,0,0,7,2,1,0,1,17,28,0.383561644
U5 ,"Hi U12, 
Great to hear your fresh perspective on eLearning! I'd love to hear more about your experience as the semester carries on. Do you know the general age of the participants in Project ECHO? It seems like there is a distinct generational difference in how comfortable members feel with technology. Here is a good list of the six generations in America. http://www.marketingteacher.com/the-six-living-generations-in-america/
I believe that the more that the newer generations (especially Boomlets) join the online learning community, the more that online learning is reinforced as a viable (if not preferable) education option and will become part of American culture. 
Thanks for the discussion!",0,1,0,0,0,6,2,1,0,0,21,29,0.397260274
U12 ,"Hi U5, 
Great question! On average, I'd say the age is about 40. The youngest is not much younger than 30, and we easily have 60 year olds calling in each month. These are participants from all over the world, but mainly from the US, India and Africa. I'm always stunned by their participation! Although I do agree there is absolutely a generational divide, I think these technologies are becoming more and more common among older populations. 
I look forward to seeing you in class!",0,1,1,0,0,6,4,3,0,0,26,30,0.410958904
U5 ,"Hi U7, 
Wow! That is amazing to hear about your Avatar experience. Was that an OILS course on Virtual Learning? What was the software that you used to facilitate the interactions? I'd never heard of using avatars and coexisting in a virtual space like that. I am sure it had a huge impact on your sense of presence in the online community. Thanks for sharing!
U5",2,0,0,0,0,4,1,0,0,0,17,31,0.424657534
