,#,LB,Post,PhI/A,Ph/B,Ph/C,Ph/D,Ph/E,PhII/A,PhII/B,PhII/C,PhIII/A,PhIII/B,PhIII/C,PhIII/D,PhIII/E,PhIV/A,PhIV/B,PhIV/C,PhIV/D,PhIV/E,PhV/A,PhV/B,PhV/C
11,Post1_R3_2,F,"Hi Wyatt,
Providing the teacher with a cultural handbook is an interesting idea. I wonder if students who come to America are provided with something like this to help them adapt and help to alleviate some of the culture shock. I also think you made a good point about how people don't really learn how other cultures operate until they fully experience them personally. The best way to understand and learn is to experience. I love to try different foods from different cultures and I love to have discussions about other cultures over food. I too agree that food can bring people together! ",3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Post1_R3_1_1_2,J,"Hi Michelle,

I think it is hard for the instructor in Iron and Silk to plan for a culture shock he hasn't had yet. I think everyone can go through a trans-cultural event when they arrive somewhere new, and he was very lucky to have the other teacher mentor him to adjust to his new location. I think it would benefit schools all over the world if they had similar mentorship programs for new teachers if they regularly accept people from far away locations",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Post 2,A,"Something we've been discussing from the very beginning is how language is one of the many parts that make up our culture. I've learned that language is a very powerful tool that is used not only for communication but to establish how we view others. Through language, we identify people by their social class and make assumptions before we even establish any sort of rapport with the individual. I thought about this while watching the clips from our module and how they made assumptions about people. For example, in Iron and Silk, Mark assumed that he assigned a relevant assignment to his class where they expressed one of their happiest moments. He realizes after some of the students share that they have never experienced a happy moment because many of them are poor and do not have the luxury to indulge in things that Mark may identify as ""happy."" In Culture Shock, the teacher assumed that his students were cheating off each other when they were trying to help each other out because group learning is a part of their culture, and it was not until he experienced it firsthand that he realized what he did was not appropriate. The Race and Social Justice videos, on the other hand, provided a great example of how we classify people based on their accent and shrug them off because their language skills are not superior. Sadly, I see this happen in many schools where teachers and students do not make attempts to interact with their peers because of some sort of language barrier. One way to correct this is by welcoming the use of different languages in our learning environment and modeling appropriate ways to respond just like the Race and Social Justice videos showed us. My students felt more comfortable speaking Spanish when they would hear me speak, and we learned different signs from the interpreter so our ASL students would see and feel comfortable signing. It's these changes that make the learning environment inclusive.

The way we view language is going to dictate the language choices we use in our content and how we address our expert blind spots. I always try my best to use simplified language in the content I create because it needs to be comprehensible for everyone. Even when I was working as an elementary teacher, there were times where it was hard for me to simplify a concept for students, and I was fortunate to have an ASL interpreter to show us some ASL to provide another alternative to understanding vocabulary. Now I rely on my peers to help me identify terms that may need to be simplified for some of our users because the content we create is not only for faculty, it is for all university employees. Furthermore, I love to use visuals. I try to present content with relevant pictures that are easy to understand and pair them with specific words or phrases. This is another way to make language accessible to everyone.


Overall, the point that I am trying to make is that language dictates how we teach and learn. As instructors, we need to make sure the language that we use is accessible to everyone so learning can take place.",3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1,0
14,Post 2_R1,E,"Melissa,

Love the points you are making. How appropriate I found it to come across this article on npr today about the myriad changes being made to dictionary.com to keep up with social change, a changing view of psychological illnesses, social and racial injustice etc.: https://www.npr.org/2020/09/03/909494937/dictionary-coms-largest-update-re-defines-thousands-of-words-focusing-on-identity

So, we must also look at language as a flexible, ever-changing entity meaning anything we put online requires constant reassessment and what works one year may not be valid the next.  In this flow it makes it even more evident that everything is just an approximation and so I wonder whether the beauty of the WisCom is that it can develop artifacts knowing these are fluid and just serve as a further tool for incremental learning?",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,Post 2_R1_1,B,"Ava, your real-life experiences and how they made you feel and act are so powerful! How incredibly frustrating it must have been to try to bring meaning to your translations and be forced to ignore such a crucial part of what you were hearing from the Ghanese asylum seeker! 

I agree that the American in the Iron and Silk videos was not necessarily a fleshed-out character and we didn't see the whole film, just scenes to promote a dialog. I also know that many Americans who travel and live abroad are culturally sensitive or at least are in another country to learn and explore. I do feel, however, that many Americans suffer from a bit of an isolationist mindset which is further reinforced by the belief that we live in the greatest country ever. There is unfortunately a reason for the phrase 'ugly American,"" used regarding travelers who don't seem to have any cultural sensitivity.

But to return to how we can make the online education community more effective through language and cultural sensitivity, I really appreciate you sharing your experiences living in Europe. I'm particularly struck by the notion of German moving to a more informal usage of ""you"" and think this shows a real-time evolution of language toward a more connected dynamic. I was an English undergrad and I love studying the way our language has evolved, but even more importantly, I think communication is the ultimate goal and if a more informal style of speaking conveys a meaning to more people, I think the benefit outweighs the notion of a ""proper language.""

This idea ties in with Melissa's points about language choices. Melissa, I love the phrase ""expert blind spots."" And I really applaud that you make your Spanish speaking and ASL students comfortable with your flexibility!

So within an online WisCom environment, how would you enact your fluid-language teaching style? Do you have any advice for monolinguistic teachers?",7,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,Post 2_R1_1_1,A,"Hi Michelle,
I have always been a firm believer that the best way to communicate with learners is by genuinely making attempts to communicate. In eLearning, this can be done through emails or by acknowledging their presence in discussions. Utilizing visuals in your content will show learners that you are making genuine attempts to make content understandable. I also recommend providing opportunities for learners to share personal experiences, this can be done both between you and the learner, or in whole-group. It's fascinating how much learners will share when given the right opportunities to do so and it opens up that communication channel and motivation learn. ",0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0
17,Post 2_R1_1_2,K,"Michelle- 
Regarding your question:   Do you have any advice for monolinguistic teachers?
I agree with Melissa's statement that you need to make a genuine effort at communication and show interest in the other person.  The only language that I speak well is English.  I often use an interpreter to communicate with my patients.  But I find it is important to watch the patient as she is talking, not the interpreter.  I'm not really having an interaction with the interpreter.  The interpreter is just a tool (not meant to be offensive) in this scenario.  I make eye contact with the patient.  I watch her facial expression and listen to the tone, volume, speed of her speech.  I may not understand the words, but I can generally understand the meaning just by watching.",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Post 2_R1_1_1-2_1,B,"Melissa and Dixie, I agree completely. Dixie your point about watching your patients intonation, body language, etc is so critical to getting to the meaning of what the interpreter may be telling you! I recently watched a German show on Netflix that had been dubbed in English. While I was interested in the sci-fi story, something was just OFF about the show. I finally realized that the voices simply didn't match the emotions I was seeing in the characters faces. I don't mean the voice sounded happy when the character was mad, I mean the small nuances you are referring to that no doubt allow you to connect with your patients in a meaningful way. My sister-in-law watched the same show in German with English subtitles after watching a few dubbed episodes and she said the show was much better as a result. Even though she was reading a translation, she was able to pick up inflection and depth of meaning from the original actor's voices!",1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Post 2_R1_2,A,"Eva, I completely agree that language is ALWAYS evolving! This is something I will always remember from linguistics and in just a short period of time, we went from using SMS language like lol and ttyl to emojis! 
I think you bring an excellent point, I think WisCom relies on language to make up parts of different aspects of the framework. For example, language is needed for communication to take place and we need to understand that everyone uses different variations of a language. As instructional designers, we should take note of the language our learners bring to the environment and utilize it when it is appropriate. ",2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
20,Post 2_R2,D,"Your points on language are very interesting and I definitely agree. To add to your point about making assumptions about people because of language... I always go back to my grandmother's story. Coming to Albuquerque to go to school, only knowing Spanish because she was a first generation American, and poorly she was treated for not knowing English. She struggled to learn in school because there were no supports back them for English Language Learners (ELLs). After she learned a little bit of English, she remembers overhearing two teachers talking about her saying that she wasn't smart because she was still not learning at the pace her English language peers were. She was devastated! This story has always broken my heart, that she was made to feel that way just because she didn't speak the same language as most other people at her school. Thankfully, my grandma decided later to use that as motivation to prove them wrong. She became a very successful, bilingual woman in her adult life even becoming the COO of a major corporation. 

A sad consequence of this however was that she didn't work to teach her own children Spanish, focusing only on English, so that they would never have to struggle the way that she did. So my dad and his siblings were denied part of their cultural background in the language that the family had spoken for generations. My grandma regrets that decision today and has started speaking Spanish with her kids and grandchildren as we have all been working to learn it on out own because we are proud of where she came from. It's so unfortunate that anyone (especially a teacher) made her feel that she should not be proud of being a Spanish speaker and Mexican American. 

I wonder if anyone else has had similar experiences?",1,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
21,Post 2_R2_1,B,"Stephanie, my grandmother was from originally from Mexico but blue-eyed and fair skinned. She had an office job back in the 30s in El Paso. One day her mother and sister came to take her to lunch. My grandmother's boss heard her speaking Spanish and fired her after lunch, telling her he hadn't known she was ""one of those."" She went on to marry a white American man (whereas her sisters married men of Mexican heritage) and also never taught her children Spanish. She would even later claim she was born in El Paso. Genealogically, she was mostly European and so was able to ""pass"" as a white American and it breaks my heart that she really distanced herself from not only her language but her family's roots in Guadalajara.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
22,Post 2_R2_2,K,"Stephanie and Michelle-
For years after 9/11, the Air Force instructed their service members to try not to appear ""American"" or ""military"" when traveling overseas.  It was definitely an interesting social experiment for my husband and I- trying to identify and remove items, appearances, even language that made us appear to be part of a certain cultural group.  I did feel a bit of a loss of identity and value.
Perhaps this is what it feels like to be part of a minority group... hadn't realized this until now.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
23,Post 2_R2_2_1,E,"Dixie,

Once you befriended people you were meeting under these changed circumstances, I assume you were able to show that the values you hold demonstrated positive aspects of American culture and probably helped people reconsider their prejudices?

That said, as a teenager, I often traveled to France and presented myself as ""American""/English speaking rather than ""German"" because so many French people still despise 'les boches' from the world wars - in Holland I also tend to be more American/English speaking than German for similar reasons. But once people know you better you can show you're an individual as much as belonging to any nationality.

The other end of that spectrum is hearing accounts from Germans who were liberated by the Americans who were celebrated as heroes. I know quite a few ex-Pats in Germany, who realized they could live a whole different kind of American life in Europe and opted to stay there - trying to get the best of both worlds.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
24,Post 2_R2_1_1,D,"Wow, what a heart-breaking story! There must be many people who can relate to denying their heritage in the that time because it was looked down upon. In fact, my great-grandmother's maiden name was White, when I asked my grandpa how that could be he said that his great-grandfather had changed his name to White because he felt he'd find more success in America that way. I'm glad we're having discussions like these and not ""sweeping it under the rug"" because we have to acknowledge what has taken place and the effects it can have for generations. ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
25,Post 2_R2_1_1_1,E,"Hi Stephanie, Such a heartbreaking experience but what a resilient grandmother you have! I've heard the saying ""Remeber if someone speaks with an accent, it is because they know at least one other language."" The implications are manifold including outperforming monolingual individuals with spatial working memory tasks to name only one. Prejudice, stereotyping, and ""othering"" happen on so many levels in regard to some many different aspects of how we express as humans. If only we could learn to take the time to contextualize and think before we spoke...even recently reading about ""The Few, the Proud, the White: The Marine Corps Balks at Promoting Generals of Color"" (NYT 8/31/20) it sounds like a similar situation as your grandmother's.",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
26,Post 2_R2_1_2,D,Thank you Eva. She loves that we are discussing this now because she feels we need to learn from situations like hers. That's interesting and discouraging that you read a story like that so recently. We obviously have such a long way to go.  ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Post 3,O,"This post made me think of a social justice of education course I took, in the course, we read Sonia Nieto�s Affirming Diversity, The Sociopolitical Context of Multicultural Education, to apply social justice theories to the experiences expressed by the children of her research. She utilized subjects representing a variety of demographics and schools in society to highlight the change in population and the ever-growing need for multicultural education to support children�s success in all school settings. In her case studies, she used the children�s voices and experiences to gain further insight into social class, ethnic and racial issues, as well as the need for understanding the context of language and culture within the educational setting. Using a diverse group of students, we looked at several social theories to explore some of the themes, issues, and concerns within the educational setting that were impacting overall school success among these groups. Her research provides the unique opportunity to gain insight from the students who are navigating within these complex social structures. It was clear from their experiences that there is much work needed to address the inequality and the continued failing education system. Students in her research who entered the classroom in the U.S. come with a diversity of experiences including race, ethnicity, socioeconomic status, gender, and overall development patterns. It was evident in reading her research that the focus for the teacher should be to teach all students and to understand what that means it not only takes an understanding of the student we are trying to teach but an understanding of ourselves as educators. When teachers truly care about the students they are working with and take the time to understand who they are, where they come from, what their needs are, and allows this to be a part of the classroom dynamic, it begins to break down some of the barriers we have seen in the education process. This approach can make the experience more meaningful and impactful for the student and educator alike. There are many ways we can incorporate what we have learned into more effective multicultural education models, however Nieto raises caution with having incomplete conceptualizations and operationalizations of such a complex educational reform movement. She argues that the most common understanding of multicultural education is additive content rather than structural changes in content and process (Nieto, 1994). If it is to be effective, I feel multicultural education is not something we �do�, it must be �lived� and an intentional and changing approach based on the dynamics of the individuals within that learning environment. In early childhood, I feel like we do a good job of recognizing this when we are working with really young children, however I don't at times see the same openness to teaching and coaching adults. I am now trying to wrap my head around what this looks like in an eLearning situation.  ",11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
28,Post 3_1,B,"Lisa-- I agree, this sounds like really relevant research to what we are seeking to embrace with WisCom. The ""additive"" approach to educational content is especially valuable, I believe, because it is one that could most easily be incorporated into existing learning formats: simply adding culturally-aware content may feel easier to achieve for teachers than completely re-working a course design. I do think, however, that content which excludes another's experience should be removed. I'm thinking of the discussion surrounding standardized tests several years ago where examples of questions show they were clearly written from a certain socio-economic-language-education frame of reference.
Your call for multi-cultural education to be a lifestyle rather a job is key. I'm particularly struck by your observation that educators recognize the need to be fluid when working with young children but that seems to disappear by adulthood. I really look forward to ideas you may come up with for incorporating openess and collaboration in online environments.",3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0
29,Post 3_2,A,"Hi Lisa, you brought up some excellent points that I brought up in my initial discussion around language and formal education. I remember reading excerpts of Nieto's work during my undergraduate studies and something that truly resonated to me in reviewing her work was that inclusivity needs to play an important role in educational reform. Not just from a pedagogical standpoint, but in terms of andragogy as well. We continue to teach in a traditional approach even in eLearning and we understand that its not effective. I still believe that the most efficient way to be inclusive is by building a strong online community where everyone expresses themselves freely.",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Post 3_2_1,O,"Hi Melissa, I completely agree and in order to get to a true place of free expression, we need to discover what barriers exist that are preventing individuals from feeling like they can do that. I feel like the online forum does not erase the internalized social constructs and dynamics that create similar situations when learning in a classroom setting....so much to unpack!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
31,Post 3_2_1_1,A,"Absolutely! I think they can be harder to detect online, but at the same time, they can be reinforced in the way that we create our learning community. That is why our content needs to be created in a way that fosters inclusively and different forms of expression. ",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,Post 3_2_1_2,K,"Lisa- I enjoyed reading your thoughts on this subject.  Your statement-   I feel multicultural education is not something we �do�, it must be �lived�-   really caught my attention.
In some education programs I have seen attempts at culture appreciation such as ""Mexican heritage day"".  While the intent is probably sincere, it doesn't really educate or incorporate the culture into daily life.  Perhaps a better way to approach this would be to bring up a behavior or value- such as respect for our elders- and discuss why this would be meaningful to us.  Then have the group suggest ways that they use this value in daily life .  Then discuss the cultural basis of this value- why did it originate, how it is a value in several different cultures.  I think this makes it more personally relevant and more likely to be incorporate into daily life.",2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33,Post 3_2_1_2_1,A,"Totally agree, Dixie! This is something that new teachers are taught in their studies. We shouldn't just celebrate people in units like ""Black History Month"" or ""Hispanic Heritage Month."" Through community building, we should be celebrating and sharing the contributions of different groups every day. ",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
34,Post 3_2_1_2_2,H,"Dixie-  Good point. I like your idea on basing the ""holiday"" on a concept instead of a tangible thing. I think it would be popular among schoolchildren, especially since they won't feel like theyre all doing similar things (i.e. everyone brings their own salsa or a piece of clothing that is meaningful to their family). I think it would celebrate the culture on a deeper level for sure. I know this question might be hard to answer, but which culture do you think would have the deepest values, as you mentioned?",1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,Post 3_2_1_2_2_1,K,"Wow Wyatt- that is definitely a difficult question to answer, but here are my thoughts.
1.  I think it is important to study other cultures.  It gives me a broader understanding of the world.  I also like to consider whether or not I would like to incorporate a new cultural perspective into my life- sort of a continuous self-improvement project. 
2.  But I also think it is important to investigate and reflect on my own culture.  These are the values that I use in daily life, and I would considered them my deepest values.  Sometimes I don't even know (or remember) the true origin of some of my own beliefs.  I have occasionally changed my opinion about something once I learned its true origin.  As adults, ignorance is less excusable in cultural faux pas.",5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
36,Post 3_2_1_2_2_1_1,B,"I love this breakdown, Dixie! You decanted this idea so well.
In the article Intercultural Communication Concepts we read, they mentioned Cultural Humility which encompasses 1) Self-reflection, 2) Self-critique, and 3) Self evaluation. We might never be completely competent in another culture, but we can still communicate effectively and thoughtfully if we are not bound to our own ideas but open to learning. ",0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
37,Post 3_2_1_2_3,N,"Hi Dixie and Lisa, this idea of skimming over or dipping in to cultural inclusivity is something that I've been explicitly trained to avoid as a teacher. We often refer to it as teaching only ""heroes and holidays."" I think it's important to really dig in and teach alternative histories - something I learned about in a Chicana studies class. This is what I try to do with my incarceration lessons and something that can be incorporated more consistently in classic lessons over things like Columbus Day, MLK Day, and the like.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,Post 3_2_1_2_3_1,O,"Yes, I think authenticity can be lost or compromised when we are looking at adding culture or inclusivity in this manner. It's almost like we focus on the what and not the why and we never get under the surface....which can end up undermining our very goal!",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Post 3_2_1_2_3_1_1,E,"I love your succinct summary of such complex content, Lisa! This one really was striking: If it is to be effective, I feel multicultural education is not something we �do�, it must be �lived� and an intentional and changing approach based on the dynamics of the individuals within that learning environment. 
Tangential but thinking about it in a multi-generational context - I attended Kristina Jacobsen's presentation about ""Songwriting as ethnographic process: Case Studies from Sardinia, Italy."" One of the key thoughts Dr. Jacobsen presented was ""specificity matters"" in ethnographic collecting - it seems what you wrote ties in to this idea and the more specific facts we collect about something, the more complete the knowledge artifact becomes, I would think? A fun final activity during this presentation was all participants were encouraged to use a writing prompt with a description of a beloved place to start a song. A few shared theirs and we collected the lines/words that stuck out. In discussing how a collaborative songwriting process works, it reminded me exactly of what we are currently doing in our discussion groups, whereby fine-tuning how responses could work - in a sort of dialectical process that could lead to specific synthesizing, it appears this could be an eLearning method that leaves space for translanguaging, taking the time to be very specific about getting to the essence of an issue with a tangible/haptic result. Is that still too abstract or could that be a tool in an eLearning setting?",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
40,Post 3_2_1_2_3_1_1_1,O,I think it sounds like a great way to address inclusivity and participation in an eLearning setting. The abstract nature could force the conceptualization and conversation necessary to be successful in this type of platform. If I am understanding the process correctly the continued dialogue would also support the ongoing participation and efforts as well as provide an avenue for the participants to feel connected to the larger goal as they can see how their contribution and the contribution of others evolved and synthesized over time to create the collaborative final piece. ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
