,#,LB,Post,PhI/A,Ph/B,Ph/C,Ph/D,Ph/E,PhII/A,PhII/B,PhII/C,PhIII/A,PhIII/B,PhIII/C,PhIII/D,PhIII/E,PhIV/A,PhIV/B,PhIV/C,PhIV/D,PhIV/E,PhV/A,PhV/B,PhV/C
37,Post 2_2_1,E,"I like the point you bring up. The limitation of the senses in the online setting does not allow a full experience, which also draws on memory - I am reminded of Proust's iconic memory of the madeleine - it's flavor, smell, texture, association. At the same time, I was just talking to a colleague of mine, a dancer who in quarantine participated in a workshop that included outside activities to be done alone as means of grounding and sensing into the material that was being worked on in the eLearning environment. Just connecting with nature according to this colleague cleared the head and body enough and brought in other stimuli to reset her mind to go online. Don't know whether that could be a starting point for something if we are forced to stay online.",1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Post 2_2_2,C,"Wyatt, I agree there's a power to in-person learning on a topic but videos can be as effective. If I were bringing the activities you mentioned to an eLearning environment I would include videos that will help learners to understand and learn a cultural concept I want them to understand. ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Post 2_3,E,"Hi Mark, I appreciate the common denominator you've found in culture and e-Learning; I did not even think of that context. Looking at it this way gives one an opportunity to stratify, sort, evaluate, combine, recombine, and keep applying and evaluating what has happened through generations (culture), or can be optimized in the classroom (eLearning).",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Post 3,H,"When I think of culture and eLearning, I think of how to reach cultural communities that may experience difficulties in learning electronically. Some of these groups include rural areas that may not have stable Internet access, groups of people that can’t necessarily afford to purchase high powered technology equipment, and communities that may not be fluent in the language that the learning material is presented in. However, even with the unique hardships that these groups experience, technology can also play a hand in solving them. For example, with the advent of 5G cell service, high speed transmissions are now possible in the most remote of areas and will only continue to grow. What’s more, translation applications have become more and more responsive as of late and gained the ability to translate languages “on the fly”, in some cases right into a wearer’s earbuds. Finally, technology has become so ubiquitous in the past decade that it is becoming reasonably priced for more people than ever to utilize; especially with the development of devices that are designed to pull down data from the cloud such as Chromebooks.
One thing I would like to see in this decade is for technology to become more public, such as kiosks around municipalities that provide information and assistance to an inquirer, sort of like a new style phone booth. These machines would be targeted to individuals who may not carry a smartphone or other mobile computing device. I think a variation of this concept could assist with solving homelessness as well; but that is a discussion for another time.",1,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Post 3_1,A ,"Hi Wyatt,  Once again, you bring up excellent points regarding some of the limitations in eLearning. One of the challenges our community faces right now (I am sure this is happening up North as well) is lack of network connectivity making it hard for students to attend virtual classes. I know that when the schools closed in March, the bus drivers in our area drove around rural areas to provide free WiFi to communities. I am not sure if that is still something they are doing since I am not working in public schools anymore but it was a great temporary solution. Accessibility is another issue and not just for English Language Learners, but for students who are on IEPs or need assistance. A lot of web conferencing tools, LMS, or eLearning design programs do not have adequate resources to support accessibility and those that do are very minimal such as close captioning. I can give you a great example of this, back in March when I was still teaching, I had to use Zoom to check-in with my students. I had two Deaf students who were receiving interpreting services from a certified ASL interpreter and it was really hard for us to show our students when I was talking and when she was signing. These are some of the things you would expect at this point should be available, but sadly they are not. 
I like your idea of providing free technology for everyone. Providing citizens with access to the Internet and computers would allow them to seek apprenticeships and certifications that are available for free. Sadly, I do not think this will happen anytime soon but I hope to see this in my lifetime. ",0,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Post 3_1_1,B,"You know, I've really been thinking about eLearning from a current events place, bemoaning having to do everything on Zoom, but thinking about rural communities who may be glad for the the switch to more online platforms has certainly reminded me that this situation offers possibility, not just ""inconvenience."" Thanks for that!",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Post 3_1_1_1,A ,"I think that's a great idea too! I don't live in a rural area, but I've heard of stories of students who have to wake up at 4 AM for the bus to pick them up at 6 AM because they are an hour away from the nearest school. I can imagine this might be a relief for some of these students and their families, but then the connectivity issue can be a real problem that creates a new problem instead of a solution. ",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Post 3_2,I,"Wow, Wyatt!  Imagine the implications.  I grew up in a small rural town.  Our class read the school's student handbook, which stated that if at least ten students wanted a course that fell within the curriculum guidelines, the school would offer it.  For our foreign language course, we wanted either French or German (a million years ago, so I do not remember which exactly except we debated between these two before going to the principal with our decision).  We wound up only being offered Spanish, the only other language with an existing teacher.  We also never truly had a choice in any other electiives - no art, music, etc.  Also, underprivileged urban areas probably go through something similar.  I think your vision for public technology access is a solution to leveling a very uneven playing field. BTW, I used Google translate when I went to CDMX in January.  I would love the Star Trek-type translators you mentiond",0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Post 3_3,J,"Hi Wayatt, I'm glad you brought up that point about eLearning in rural areas with poor internet service. I recently drove through southeast New Mexico and was wondering myself how people can work on the Internet in such rural areas? All I could think of is some kind of satellite dish a person could install on their home, I did not know 5G was so versatile!",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Post 4,D,"I would define culture as the beliefs, customs, habits or standard practices of a group of people. I always have a hard time putting that definition into words, but I believe it is all of those things and then some that people tend to be accustomed to based on their family, community and environment. 
I would define eLearning as a mode of education that takes place through the use of technology instead of relying mainly on face to face interaction with an instructor or others. 
Culture and eLearning are related because culture affects learning in any capacity that it takes place. Our culture affects our attitude towards learning, towards the subjects we learn and the way in which we learn, so it is important to take all of these things into account when designing an eLearning experience for students. ",1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Post 4_1,E,"Hi Stephanie, I like the causality you present in the two terms. I also am immediately reminded of how biases and stereotypes can influence what you posit in a negative way so that taking the time to contemplate this relationship also opens the arena to identifying, addressing, and perhaps changing these biases.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Post 4_2,A ,"Hi Stephanie, I agree with your definitions and they are concise and easy to remember! You make an excellent point regarding the connection between culture and eLearning and its impact on learning. Our cultural beliefs dictate how we learn as well as how we respond to certain ideas which in turn makes it important to think about the audience and what is going to prevent them from taking away what was presented in your eLearning course. As I started reading for this course, and some of the content in the module, this was something we really need to think about. I am glad to see that we are starting to think about how our cultural beliefs shape the way we create our instruction and what we can do to minimize that. ",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Post 4_3,M,"Stephanie, I agree, culture is definitely a belief or an arbitrary concept of social norms. It is easier to give examples of culture rather than a one statement definition for sure. I like how you mentioned that culture is what people are accustomed to within their community. That is exactly what I think of culture. Things that are understood or happen often as a normal routine. eLearning seemed easy to define, at least easier than culture. Distant learning is eLearning, but it can encompass face-to-face learning too. My children started second and seventh grade and they are learning face to face, online, at least two days per week. Laura",2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Post 4_4,G,I would agree with that definition of culture.  It is hard for me to define as well.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Post 5,E,"In Germany, one frequently adds ""art"" when talking about culture, Kunst und Kultur, are like twins joined at the hip - in the Western Christian paradigm, I think art development created a culture and with secularization, the parameters of culture transcended the parameters of religion and its seeming by-products art and culture. I see culture as an amalgam of adopted values, language, rituals, and an inherent pride.
eLearning is a tool that enables the creation of an education setting even in places not conducive to learning. eLearning can serve individuals who might otherwise feel outed, vulnerable, or inferior. 
eLearning can offer a forum in which one can be as cultural or a-cultural as one wants to be in conveying content. Since culture is also a part of racial, social, and caste settings, I would posit it represents an opportunity to think about a learning environment that can address racial and social injustice  and delimit caste in a safe zone and place of exploration.
PS: I was just reminded of Margaret Mead's identification of culture not so much being the anthropological artifacts she found but the discovery of a femur that had broken and mended indicating that the individual in question had been cared for and not left to their own devices. That idea permeates the domain of eLearning nicely in the context of creating a circle of care of the intellect or fostering abilities - perhaps demonstrating a vision for what wisdom can do.",3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Post 5_1,A ,"Hi Eva, the part you included about ""inherent pride"" in your definition truly caught my attention. It made me reflect on my idea of pride and where it comes from and I was able to link it back to different sources such as my parents, religious beliefs, and even books. 
You make an excellent point that eLearning can provide opportunities for people that do not have access to education to have one. However, the issue is that many minority groups do not have access to eLearning because they do not have the tools to participate such as a computer and Internet. Wyatt makes an excellent point in his post that this can be a reality if everyone had access to technology by setting up kiosks or even giving people free computers and Internet access. In doing so, we would be able to expand eLearning for everyone and provide more learning opportunities for everyone from people with disabilities to senior citizens. ",0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Post 5_1_1,E,"Hi Melissa,Thanks for further qualifying the access issue! I was thinking within a narrow scope of people who simply don't want to or psychologically find it too harrowing to interact in live settings. I helped develop a platform for online writing classes that were supposed to supplement the Taos Summer Writers' Conference summer live session and our WordPress platform designer was telling me that would be the ideal spot for him to learn in his PJs because he just couldn't deal with people and didn't want anyone to look at him. That gave me some insights. I've also worked with a number of people on the autism spectrum through my bodywork over the years and they have loved the solitude of online learning. ",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Post 5_2,C,"Eva, thank you for sharing this concept with us. I enjoy learning new things and this is one concept I will remember: Kunst und Kultur. 
It's very interesting to think that one can decide to be whomever one wants to be in an eLearning environment.
In my view, eLearning tends to be very cold and dry, devoid of character, in format. Oftentimes the goal is to target a universal learner. In reflecting on my eLearning experience, many of the modules I have been required to complete are targeted content for its given audience. 
If the practice remains true, most of us who have to complete required compliance training go directly to the exam and test out of the module. 
I feel for the person who spent 100s of hours working on the content. ",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
