,#,LB,Post,PhI/A,Ph/B,Ph/C,Ph/D,Ph/E,PhII/A,PhII/B,PhII/C,PhIII/A,PhIII/B,PhIII/C,PhIII/D,PhIII/E,PhIV/A,PhIV/B,PhIV/C,PhIV/D,PhIV/E,PhV/A,PhV/B,PhV/C
11,Post 1_5_1,A,"Hey Mark, The key to building an inclusive classroom, whether traditional or eLearning, is by getting to know your students. It's important to think about what we are doing in this class. We spent the first week getting to know each other and we have the virtual cafe to share. Our responses are observed by our instructors and I've noticed that they are always acknowledging our responses during our sessions, which in my opinion, acknowledges that are making informal observations. That is why I believe eLearning courses need to rely on building a community in order for everyone to feel comfortable and feel motivated to learn. ",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Post 1_5_1_1,O,"I agree Melissa, And I also feel that by allowing there discussions to progress on their own without having such a narrow scope and strict or defined expectations allows for individuals to show their differences and add to the culture of the group in a way that is meaningful to themselves, while also learning what is meaningful to others.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Post 1_5_1_1_1,A,"Absolutely, I am glad that you agree! :) ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Post 1_5_2,I,"Hello, Melissa.  I am glad you bring this up.  When I was taking HRDV classes for my undergrad, we were given a discussion prompt at some point about the possibility of removing bias during the hiring process by using only resumes and no interviews.  The resumes would be blinded of names and any other personal information that would give an indication of a person's gender, age, race, ethnicity, national origin, etc.  As I was reading the first chapter, I wondered if it would be a possibility for eLearning as well.  However, I agree with you on getting to know each other last week was quite pleasant, and I can already see that I am going to learn a lot from our folks here.  I think this is also the first online course I have taken where the instructors have been so engaged, so I am very excited to be part of community building as a student and am interested in where this takes us.  ",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Post 1_5_2_1,A,Hi Michelle! I am familiarized with this hiring process and I wonder if that would be helpful in an eLearning environment? I feel like sometimes we make assumptions about people based on the tiny images in our Blackboard course or the minimal conversations we have in discussion boards that it may be good to exclude some of this? I strongly feel though that communication and building a community will help create a better eLearning experience. ,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Post 1_5_3,B,"Getting to know one another and our professors is beneficial simply from a social/psychological perspective: I agree that eLearning (and really every course) should focus on building community.

I wonder (just for the sake of discussion) if it will ever be possible to design a culturally inclusive course simply because that is how we (humans) now teach? There has been so much social unrest this crazy year, but it has definitely opened society's collective eyes to culture and its most extreme forms of exclusion. Maybe someday humanity will reach a place where being sensitive and inclusive to other cultures is simply how things are done (I know, I know, a sci-fi utopian vision).",1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Post 1_5_3_1,C,"I agree. I wouldn't have been successful as a teacher if I didn't spend the first few weeks (6 weeks, times 5) getting to know my students and creating opportunities for them to belong to the classroom community. Of course, this is an investment that a lot of teachers don't have the time to commit to. In an online course time is a valuable commodity. How would you design a course that is inclusive? ",0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Post 1_5_3_2,E,"Melissa, Lisa, Michelle M., Michelle C., Mark,

In agreement about how important communication is and hoping that the foment one sees around breaking open ground to speak leads to action - but even as I read and respond, there is another side to everything that is happening that indicates agreement on a set of rules and cooperation among participants is critical. So, in this community space how does one set boundaries that lead to genuine exchange without overstepping one or the other participant's cultural boundaries? I feel as if this process is one of squaring the circle trying to come to a concrete solution. In that context I appreciate how Authentic Learning and the use of real world, messy projects is the best way to get to work and try - nd in that process transformative learning would happen.",1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
19,Post 1_5_3_2_1,G,"That is a very real challenge and one I have encountered.  I have been thinking more and more about some boundaries that are built into training I have constructed or reviewed.  Some of them were necessary, but some of them probably were not.  And some of those courses probably needed more boundaries.
Do you think it is possible to reduce boundaries to the point where students feel abandon?  How do you find the balance between the necessary framework and constructing a framework that is actually counter-productive?",3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Post 1_5_3_2_1_1,E,"Great point, Pete - I actually gave up on an online sports nutrition program because of lack of guidance, a book that was not user friendly, and the complete lack of interaction and guidance. Isn't the scope also dependent on participants? Perhaps there needs to be a flexible model which offers more or less boundaries in specific areas relative to how individuals would like to interact in the class. It would be interesting to run tests on how platforms change depending on the parameters participants choose and then see how these play out in real time. I don't know much about games but from the little bits I've seen, could this be similar to what one chooses to go on quests and what avatar one chooses etc? 

That brings up the issue of authenticity in a WisCom framework - there is an assumption one is participating with full integrity and authenticity, however, what happens when not everyone conforms to that ideal, which I would think is a given? So, sorry to just throw back a question at you. Eva",1,1,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0
21,Post 1_5_3_2_1_1_1,G,"No, not at all!  Thats a cool analogy:  Quests and avatars. I'm not much of a gamer anymore and I know almost nothing about how to design one, but it is an interesting thought.  Especially in light of what you spoke about right before that.  I have had the same experience with certain apps that you had with the nutrition program.  And that made me think, ""What was the root problem?""  I'd have to say that ""Lack of adaptability"" would probably be the most common source of frustration:  I can't make this thing fit with me and who I am and want to be.  Is an online learning environment essentially just an app?
And, I feel that authenticity and integrity are definitely a legitimate concerns.  I think you are right that we tend to assume that everyone is ""all in"" on both those.  But, that can be a dangerous assumption in some cases.  I'm not even sure it is conscious in many cases. I've been in learning environments with saboteurs ""me firsters""d But, I know in many cases I have seen, there is a reluctance to be honest for fear of being labeled or marginalized because of that honesty.  Examples that I can think of might include the following:
""I'm taking this training because my boss ordered me to take it.  I'd rather be back at my ""real"" job.
""I'm only taking this class because it is required for my major.""
""I think I might be in over my head in this class/training.""
""We aren't even past the introductions and I already feel lost.""
""I think I might be in the wrong room.  Everyone here seems way different/advanced/smarter/etc than me.  I don't feel like I belong here.""

Now, I have actually heard that kind of stuff from students.  But, I think that kind of honesty is kind of rare.  That kind of honesty is hard to get out of people for legitimate reasons.  My experience is that it can be toxic to a learning environment if it isn't addressed.  I'll be honest and say I have no tried and true method of addressing it.  I probably failed, even when I recognized it.  ",3,1,1,0,0,3,2,7,0,2,0,0,0,0,0,0,0,0,0,0,0
22,Post 1_5_3_2_1_1_1_1,E,"This is so helpful - that root question - adaptability...makes me think of the low and high context cultural diversity piece and the opportunity eLearning might provide to actually escape it all - I just finished reading Isabel Wilkerson's Caste - and if it were possible in the context of a cyberculture/idioculture to shed the stereotypes of caste and focus on who one wants to present oneself as with one's unique culture, this could be an opportunity. Even to the point of those comments participants have made who don't really want to be in that environment - perhaps with the right ""quest"" settings in place a program could be modified to at some point get the participant interested.

Motivational Interviewing was developed by a psychologist here at UNM who created CASAA (the alcoholism and addition research center) - it's something I've been interested in with regard to motivation in learning for a while but now in the program I hope to learn more about it and see where that fits in. MI has become the most successful global therapy for alcoholism because it comes from the patient's point of entry/volition and not from an outside entity pushing something.",1,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
23,Post 1_5_3_2_1_1_2,A,"Without going too much into detail, I think it's important to consider what we are sharing in the discussion and utilizing the WisCom framework to guide us in creating an inclusive eLearning course. For example, not just relying on technology but offering other resources is a great way to be inclusive or utilizing simple language in our courses to make it easy for learners to follow along. ",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,Post 1_6,K,"Hi Dixie! Thank you for starting this off. I would agree that the definition or answer is simple but it is hard to desrcibe. I struggled with trying to find a good way to summarize ""cultural inclusivity"". I think respect is something that is really important to keep in mind for this. We all come from different backgrounds but respecting each other for those difference as we form our own class culture is important.",2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Post 1_6_1,F,"Hi Amanda,

I agree with you.  I would say respect is extremely important, as well as understanding. I always explain to my students that we all come from different backgrounds and we all have different experiences and therefore we need to be understanding and respectful of each other.",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Post 1_7,O,"Thank you for starting this conversation, cultural inclusivity is something I feel that I understand and is part of my everyday living and professional approach. However, I too struggle at times to encapsulate and articulate it in a way that supports those I teach and coach. In an early childhood classroom setting I describe this to teachers as recognizing and acknowledging difference, then embracing it as an opportunity and not a challenge. I try to have them think of it in terms of what can we do to include instead of focusing on what can’t be done or the barriers to doing what we know and what is comfortable. I strongly believe we have to look introspectively at our biases and be able to understand and acknowledge what is within ourselves in order to learn and grow with as well as from others. Interestingly, I have found that speaking in terms of accommodations tends to bring an interesting dynamic to the conversation, I am not sure if it elicits feelings of resistance due to bias or unfamiliarity but it feels like it creates a barrier. Has anyone else has experienced this? I tend to use words like incorporate, expand, adjust, encompass......",2,1,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
27,Post 1_7_1,B,"Regarding the dynamic you mentioned, do you mean that when you encourage people to be culturally inclusive they show resistance and so you use the other words you mentioned? That is very interesting. I wonder if it's indicative of the level of defensiveness many people in our country seem to express anytime the status quo is questioned or challenged. For me, cultural inclusivity seems like it should be our country's motto given that we have (until recently at least) claimed to welcome the world. But the last couple of years has taught me that there are many vocal opponents to this notion.

At any rate, you display effective communication by using words that get people to accomplish what you need them to do!",1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
28,Post 1_7_1_1,O,"I don't believe it's the inclusivity that is the issue, I feel like it is something connected to the word accommodate...sort of like when you say conflict people automatically think it is a negative when in reality conflict is good and necessary and very much about perception and how that word has been internalized. I haven't done any probing to try and get at the heart of the reaction but I do find it interesting. I am most definitely a word choice person!! ",3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Post 1_8,F,"Hi Dixie,

I like how you defined cultural inclusivity. When I think of the term cultural inclusivity, I think of all cultures being accepted. I really like how you included the being mutually respectful and possessing flexibility to accommodate all persons and ideas. I think this is very important because in order for inclusion to happen people need to be understanding and accepting, as well as respectful of each and everyone's race, language, beliefs, gender, etc.",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Post 1_9,I,"Hello, Dixie. Your points about mutual respect and possessing flexibility to accommodate all people and ideas are paramount.  I have met people who feel threatened by the concept of cultural inclusivity, thinking it is a takeover of their own beliefs/set of values.   However, you seem to have summed it up rather effortlessly.  With mutual respect, individuals or groups from different cultures do not necessarily have to agree with or ""convert"" to the other's points of view, but they can acknowledge that both sides have the right to their own world views and each side has merit.  It also helps to have a set of rules as debated in the previous module's discussion to help ensure that respect is maintained.  I think this goes hand-in-hand with flexible accommodation - another topic that sometimes seems to threaten people.  Much of this probably stems from the other two points you included - people not recognizing their own biases and making assumptions.",3,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
31,Post 1_9_1,F,"Michelle,

I really like how you point out that when there is mutual respect, then everyone is able to acknowledge that both sides have a right to their own world views and each side has merit. This made me think of all of the political battles that are currently going on in our country. ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,Post 2,B,"We can define cultural inclusivity as a guarantee that all cultures participating in a given program/organization/society can access, participate, and express themselves in an equally valued manner.

The Collaborative Learning theory supports this goal because mutual participation is at the core of inclusivity.

Though we talk a great deal about the communication side of online course design, what struck me first when considering this question is the very notion that we are talking about a culturally exclusive group of people who even have access to an online environment. Within that framework, the degree of technological access and comfort with platforms varies greatly from person to person.

For example, in Albuquerque, APS has issued Chromebooks to all students this year to guarantee access to the technology since the end of the last term was marked by students not being able to access classes because they did not have a home computer. From my own experience, I find great fulfillment and value in Zoom classes and discussions, but am completely bamboozled by platforms like this one (Learn), which leaves me feeling like I am constantly missing something and can't find what I'm looking for! So cultural inclusivity should include these factors.

A culturally inclusive course design would then encompass the following:

1) A tangible platform that is accessible to all

2) Opportunities for participation are varied and integral to design

3) Discussions and problem solving assignments are not developed or graded for a ""one correct answer"" response",1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Post 2_1,D,"Hi Michelle, 

You brought up a point that really struck me. While APS may pass out Chromebooks to everyone therefore supposedly making remote learning accessible to everyone, there are still major gaps in that exist making the eLearning process not at all equitable. Some students (and their parents) do not have nearly as much experience with computers and/or the programs that are being used, which puts them at a disadvantage.

For instance, my middle school daughter and I have been struggling with turning things in on Google Classrooms. Sometimes the teachers tell her that what she turned in was blank even though we thought she did it right. I have no experience with this program that is completely different from Blackboard Learn, which I am very familiar with. Is it fair then for my daughter to get zeros for this issue? How could teachers handle these issue then to be more inclusive?",1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Post 2_1_1,K,"I liked Michelle's 3 components for an inclusive course design.  And can also relate to both Michelle and Stephanie's frustration with interacting with various different platforms.  This probably relates back to component #1- making a platform that is truly accessible to all.  It also ties in Mark's question- ""how can we create inclusivity when we don't know someone's culture, language, or location?""

Some of the creators of software have recognized this need for universal understanding  and have created their own ""culture neutral"" language using pictures and symbols.  For example, a person of any language probably knows how to work a iphone.  Preschool children can work an iphone!  I think it is more complex to try to create a learning program/ course design using symbols and pictures, but the core concept is the same. ",2,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35,Post 2_1_1_1,D,"I liked Michelle's 3 components for an inclusive course design.  And can also relate to both Michelle and Stephanie's frustration with interacting with various different platforms.  This probably relates back to component #1- making a platform that is truly accessible to all.  It also ties in Mark's question- ""how can we create inclusivity when we don't know someone's culture, language, or location?""

Some of the creators of software have recognized this need for universal understanding  and have created their own ""culture neutral"" language using pictures and symbols.  For example, a person of any language probably knows how to work a iphone.  Preschool children can work an iphone!  I think it is more complex to try to create a learning program/ course design using symbols and pictures, but the core concept is the same. ",0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Post 2_1_1_1_1,B,"Not to sound too cynical, but I wonder if iPhone's design was spurred not so much by a desire to be culturally inclusive or more of a desire to be marketable to diverse cultures. Of course it was the latter, but Dixie's and your points are still completely valid and I agree with them absolutely! So I guess the big question is, how do we get designers on board with these concepts simply because its a good thing to do and not because there's a profit factor involved?",1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Post 2_1_1_1_1_1,G,"Michelle,
I'm not sure the two are mutually exclusive.  For example, my job is to help design training for a government agency.  If my training has inherent cultural bias, its likely to have a high failure rate.  A high failure rate is BAD:  That does not reflect well on me or the company for which I work.  We could lose the contract!
Is it possible that changing economic incentives could be the most effective way to change behaviors?
Apple may have changed their design because they saw a profit motive, but they did still change it.  And is it possible that this experience lead to an understanding in that company that they needed to be more culturally inclusive to survive?",0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Post 2_1_1_1_1_2,B,"Oh I share your frustration with a blank form! There definitely needs to be some understanding in the instructor's side of all eLearning about the technical side of teaching. I know many of these platforms and curricula were developed rapidly this year, so I think a healthy dose of flexibility is in order while the platforms work out the bugs!",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Post 2_1_1_1_1,F,"Hi Stephanie,
I too mentioned some of this same stuff in my response post to Michelle. I am a high school teacher who is also using google classroom with my students. I would be happy to help if you and your daughter still need help. The district is telling teachers to have grace with students. Have you reached out to her teacher to explain the situation and see if she can help remedy the situation and allow her to resubmit?",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Post 2_1_1_1_2,J,"Chromebooks are hard, they don;t work like regular laptops since they are cloud computers and have no hard drive. I had to take training in Canvas and in person at the district just to be able to barely use them. APS should make a youtube channel or something to help the students and families who are using them now!.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Post 2_2,C,"I like how you broke down the elements for cultural inclusivity in course design.

I can relate to your experience with various platforms we use for communication and learning. With eLearning being a novel concept, for some, we now have to learn a new language for each program we use to negotiate varying tools and frameworks.

Regarding your definition of cultural inclusivity, ""We can define cultural inclusivity as a guarantee ..."" What happens when a participant is not open to sharing their experiences or elements of their identities or personality to strangers in a virtual environment? How can we guarantee that experience is inclusive? 

In my experience teaching, I found that students from Asian, Middle Eastern, and African ethnic backgrounds found it difficult to share personal attributes about themselves as so much of their identities are based on their parents' accomplishments. In other ethnic groups, Latin Americans (Latinx), perceive talking about themselves as bragging which is frown on in their community. 

In my experience within our Zoom meetings, I realized that I hesitate to speak up because I want to be polite to others and give everyone an opportunity to share their views. In real life, I'm a mid-extrovert and enjoy communicating and contributing to conversations. I learned something new about myself that allowed me to reflect on the meaning of cultural inclusivity and how we communicate in-person versus online. 

",2,1,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Post 2_2_1,B,"Mark, I completely relate to hesitating to speak up out of politeness! It was only after I taught a few online classes that I realized silence is far worse than overspeaking! There is nothing more demoralizing as a teacher than asking if anyone has questions and hearing nothing! In person, you can see headshakes, read body language and expressions, but even with a great connection, sometimes it's hard to get those clues on a video screen. I think we're all having to reflect on how we communicate online versus in person.",2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Post 2_2_1_1,C,"Virtual and eLearning are quite distinct from each and in-person. In virtual facilitation, there must be tools to help learners share and contribute to discussions without causing much distraction. Tools for communication should include speaking, using the chat pod, and participating in polls, or asking questions on the screen that require a response (place a stamp on the right answer, etc.). Also, breakout rooms allow participants to communicate in smaller groups.This is a similar format to the strategies I used in the classroom. eLearning requires its set of tools: asynchronous discussions and a set of rules for engagement and a prefixed manner of contributing and submitting work. 

Not every student is an extrovert or is comfortable speaking publicly. Students/learners should be given an equal opportunity to participate in virtual/eLearning sessions using differentiated tools. In an eLearning enviorment, where there is a diverse representation not only in culture but also in varied experience, people should be given a choice in how and when to communicate given his/her/their preference, when appropriate. 

Would an eLearing course be equitable to an individual who is visually impaired or differently abled? Do you think this is taken into consideration in deisgn? ",7,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Post 2_2_1_1_1,E,"Mark,

Your second paragraph really resonates with me. It seems a lot of guidelines need to be established to give everyone the space they need to interact at their level of comfort. In the peer mentoring process, I think this is a space for personal growth. Learning to be a holistic healthcare practitioner, in all the modalities I offer, the idea is to ""meet your client where they are,"" so I constantly have to adjust treatments to be more or less verbal, more or less ""gossipy"" or ""precise and anatomical,"" more ""touchy feely"" or more ""medical,"" this includes accommodating clients from babies to octogenerians - the health journey these clients entrust me to lead them on is buffered by their knowing they can move at whatever pace they need to in order to let their bodies find portals to self-healing.

Looking at some of the resources in Module 1, I was intrigued to see numerous options for how to read some of the selections -  I would assume these can be considered hands on tools for accommodation.

In spite of these positives, I still can envision the WisCom framework leaving little space for those who cannot assert themselves as well as others so that their input goes under and they give up participating or feel pressured only to participate in order to get a grade/evaluation/or other tangible feedback for which they paid.

Any system with a monetary factor creates a power differential. Maybe WisCom is as altruistic as it may seem not able to truly tap into how e.g. an indigenous wisdom community operaties (taking into consideration the Navajo or Hawaiian models that were discussed).

Thank you for bringing up these points! Eva",5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
45,Post 2_3,I,"Hello, Michelle.  I understand your frustration (case in point, my inability to share my screen during the Zoom meeting the other night).  I feel that I am generally tech savvy, provided I have the time to learn a platform, or that it is at least intuitive.  I agree with your wish list for inclusive course design.  Accessibility is an issue.  The text mentioned that course designers rarely get to choose their LMS platform.  This means when a switch has to be made nearly instantaneously, everyone from the course designer to the facilitator to the student have to adjust quickly, and yes, it is more difficult for some than others.  Also, I think it is awesome that Albuquerque issued ChromeBooks to its students.  However, at my job, some folks had to take non-pandemic work leave when the campus shut down for COVID-19 because they lived in very remote areas with no internet service.  Furthermore, my current city has a 25% poverty rate (pre-COVID), so there are people that live in areas with internet service, but simply cannot afford it.

I totally agree with your third point about problem-solving assignments.  I am interested in learning more about your second point.",3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Post 2_4,F,"Hi Michelle,

I can completely relate to your post of trying to figure out how to navigate these new platforms currently. There are a few that my school is currently wanting us to integrate into our online teaching, but it's taking me a while to try to figure them out. I really like your example of what a culturally inclusive course would encompass. I think your statement about discussions and problem solving assignments not being developed and graded for a one correct answer response. I feel like this is very important. Many times I know teachers look for specific terms and if they are not present in the response then it is marked wrong. I personally try to stray away from doing this because of the fact that I have English Language Learner students who may not be familiar with the terms I am looking for. While APS passed out these chromebooks to our students, I have many students who don't have a parent at home who can help assist them either because they have parents that work or their parent(s) don't understand how to navigate the technology, which puts these students at a disadvantage.",1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Post 2_5,G,"Michelle,
Thank you for your comments.  Your post touched on a issue that I have been thinking about a lot lately.  What about APS students who live with guardians who have little or no experience with technology.  I have met many older people who are raising their grandchildren.  Some of them have never interacted with a personal computer in any meaningful way.  How do we address the ""cultural bias"" of demanding an online learning platform for those students?  Without an adult who can help them navigate that on line environment, aren't we excluding their culture in a way?  I really don't know, but it seems like it might be an important question.",0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
